,# of ratings (n),PROPORTION OF EXPECTED FINAL WORD (%),OTHER COMPLETIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Send a chill down one's spine,107,0.91,,back,0.07,body,0.01,lungs,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Send someone packing,105,0.15,,away,0.22,back,0.02,card,0.01,clothing,0.01,flowers,0.04,food,0.01,gifts,0.03,home,0.33,letter,0.01,mail,0.02,money,0.04,movies,0.01,off,0.01,out,0.01,overboard,0.01,photos,0.01,regards,0.01,roses,0.01,running,0.02,there,0.01,things,0.01,under,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set the record straight,111,0.80,,again,0.01,book,0.01,breaker,0.02,goal,0.02,high,0.02,hit,0.01,long-jump,0.01,pace,0.03,player,0.01,score,0.01,spinning,0.01,system,0.01,time,0.02,today,0.02,yesterday,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set the stage,105,0.07,,alarm,0.03,bail,0.01,bar,0.19,clock,0.01,date,0.03,fire,0.05,law,0.01,mark,0.01,mood,0.05,pace,0.07,place,0.01,precedent,0.01,record,0.05,rules,0.03,score,0.03,standard,0.09,style,0.01,table,0.08,tempo,0.01,time,0.03,timer,0.02,tone,0.12,trap,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set up shop,108,0.33,,appointments,0.01,base,0.01,bombs,0.01,camp,0.20,carefully,0.01,chairs,0.01,dates,0.01,dinner,0.02,drinks,0.01,early,0.01,easily,0.01,everything,0.01,failure,0.01,fast,0.01,first,0.02,games,0.03,her,0.01,here,0.01,house,0.06,housekeeping,0.01,late,0.01,picnics,0.01,place,0.01,plans,0.01,probation,0.01,quick,0.01,solid,0.01,tables,0.03,tent/tents,0.06,today,0.02,together,0.01,too,0.01,town,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set your heart on it,108,0.44,,chicken,0.01,fame,0.01,fire,0.16,going,0.05,her,0.13,him,0.07,in,0.01,jewelry,0.01,life,0.01,love,0.03,marriage,0.01,money,0.01,sleeve,0.01,winning,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share common ground,108,0.23,,appetites,0.01,bond/bonds,0.08,cause,0.01,cousin,0.01,feelings,0.01,goal/goals,0.11,ideas,0.01,interest/interests,0.33,knowledge,0.04,language,0.01,lives,0.01,opinion,0.01,roots,0.01,sense,0.05,tastes,0.01,things,0.01,ties,0.01,traits,0.02,values,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
She won't bite,102,0.02,,be,0.01,believe,0.01,belong,0.01,bother,0.01,budge,0.16,call,0.01,care,0.03,complain,0.01,comply,0.01,cooperate,0.01,cry,0.01,dare,0.03,die,0.03,give,0.02,go,0.12,hate,0.01,help,0.01,know,0.01,leave,0.02,lie,0.06,listen,0.02,live,0.01,lose,0.01,procrastinate,0.01,quit,0.11,remember,0.01,retire,0.01,run,0.01,say,0.02,sing,0.01,stop,0.09,surrender,0.03,tell,0.02,try,0.02,turn,0.01,win,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoot oneself in the foot,106,0.82,,anus,0.01,arm,0.01,ass,0.01,back,0.02,head,0.05,leg,0.08,shoot,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoot the breeze,108,0.28,,ball,0.01,blanks,0.01,bull,0.01,cat,0.01,crap,0.01,decoys,0.01,deer,0.01,dice,0.01,ducks,0.01,film,0.03,gun/guns,0.06,horse,0.01,howitzer,0.01,Indians,0.01,lion,0.01,messenger,0.02,moon,0.12,movie,0.05,rapids,0.01,rifle,0.01,shit,0.19,stars,0.06,target/targets,0.03,turkey,0.01,wall,0.01,waves,0.01,wind,0.01,works,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shout something from the rooftops,110,0.65,,back,0.01,balcony,0.01,bleachers,0.02,car,0.01,door,0.01,field,0.01,hills,0.02,mountain/mountains,0.05,mountaintop,0.01,rafters,0.04,roof,0.11,street,0.01,tower,0.01,tree,0.01,treetops,0.01,window,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show one's true colors,109,0.86,,feelings,0.01,nature,0.03,self,0.07,side,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show someone the door,110,0.27,,agreement,0.01,area,0.01,bet,0.01,boat,0.01,book,0.01,car,0.01,consequences,0.01,end,0.02,engine,0.01,exit,0.02,game,0.02,gun,0.01,light,0.01,line,0.01,money,0.03,news,0.01,numbers,0.01,paperwork,0.01,plan,0.02,prize,0.01,reason,0.01,road,0.01,room,0.01,rope/ropes,0.24,rules,0.01,sign/signs,0.02,store,0.01,time,0.03,town,0.01,truth,0.01,way,0.14,works,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show someone who's boss,110,0.85,,drunk,0.01,superior,0.01,who,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign on the dotted line,104,0.99,,page,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sing someone's praises,107,0.22,,ballad,0.01,bell,0.01,birthday,0.01,goodnight,0.01,home,0.01,lullabies,0.02,melodies,0.01,song/songs,0.63,sorrows,0.02,tune,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sink or swim,107,0.93,,die,0.01,fall,0.01,float,0.04,sail,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sit up and take notice,108,0.64,,action,0.01,aim,0.02,breath,0.01,charge,0.05,estate,0.01,inventory,0.02,it,0.05,look,0.01,names,0.01,note/notes,0.11,oath,0.01,off,0.01,pills,0.01,shelter,0.01,shots,0.01,stock,0.01,time,0.01,two,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep like a baby,107,0.58,,angel,0.01,cat,0.02,dog,0.01,lark,0.01,log,0.22,mouse,0.02,narcoleptic,0.01,rock,0.11,rug,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slip someone's mind,110,0.93,,ear,0.01,fingers,0.01,grasp,0.02,hand,0.01,tongue,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smell a rat,110,0.50,,bit,0.02,cake,0.01,corpse,0.01,crook,0.02,daisy,0.01,drunkard,0.01,fart,0.03,fish,0.02,flower,0.05,food,0.01,funk,0.01,liar,0.02,lie,0.03,lot,0.01,odor,0.01,pie,0.01,ray,0.01,rose,0.15,skunk,0.07,snitch,0.01,thief,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soften the blow,109,0.66,,bread,0.03,butter,0.02,core,0.01,couch,0.01,deal,0.01,enemy,0.01,fabric,0.01,ground,0.02,heart,0.12,laundry,0.01,leather,0.01,mood,0.04,punch,0.01,roll,0.01,skin,0.01,smoothed,0.01,water,0.01,wound,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Someone's bark is worse than their bite,105,0.97,,arm,0.01,face,0.01,other,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Someone's days are numbered,108,0.83,,bad,0.01,coming,0.01,done,0.01,exciting,0.01,good,0.01,grand,0.01,limited,0.02,long,0.04,over,0.03,rainy,0.01,shorter,0.01,slow,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Someone's hands are tied,105,0.37,,ashen,0.01,bloody,0.03,bound,0.01,calloused,0.01,clasped,0.01,clean,0.11,cold,0.09,dirty,0.10,dry,0.01,folded,0.01,free,0.02,full,0.06,greasy,0.01,hot,0.02,shaking,0.02,shaky,0.01,soft,0.02,strong,0.01,sweaty,0.02,trembling,0.01,up,0.03,weathered,0.01,wet,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Something has seen better days,105,0.91,,before,0.01,cause,0.01,shoes,0.01,time/times,0.05,yesterday,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Something the cat dragged in,108,0.91,,along,0.01,away,0.01,down,0.01,home,0.01,here,0.01,inside,0.01,out,0.03,outside,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speak the same/someone's language,105,0.71,,beauty,0.01,class,0.01,clear,0.01,ideas,0.01,it,0.01,line,0.01,lingo,0.02,mind,0.09,name,0.02,part,0.01,softly,0.01,thoughts,0.03,time,0.02,truth,0.01,tune,0.01,words,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speak your mind,105,0.68,,best,0.02,French,0.01,language,0.05,name,0.02,peace,0.06,piece,0.09,set,0.01,shoulder,0.01,thoughts,0.02,word/words,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spill one's guts,107,0.30,,beans,0.06,beer,0.01,coffee,0.04,drink,0.19,marbles,0.01,milk,0.29,mood,0.01,tea,0.01,water,0.02,wine,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spread one's wings,107,0.38,,arms,0.05,assets,0.02,bets,0.01,butter,0.04,charm,0.01,diseases,0.01,hands,0.04,ideas,0.01,jam,0.01,jelly,0.01,legs,0.21,lies,0.01,love,0.03,luck,0.01,message,0.02,net,0.01,oats,0.01,resources,0.01,seed,0.02,seeds,0.01,thin,0.01,wealth,0.06,wisdom,0.01,word,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spread oneself too thin,108,0.91,,danger,0.01,far,0.02,much,0.02,short,0.01,thinly,0.01,wide,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stand one's ground,111,0.90,,up,0.08,opinion,0.01,man,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stand out from the crowd,107,0.76,,corner,0.01,crown,0.01,driveway,0.01,front,0.01,others,0.01,pack,0.05,ranks,0.01,rest,0.13,way,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stand the test of time,107,0.98,,game,0.01,water,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stay on track,108,0.23,,ball,0.01,base,0.01,beat,0.01,campus,0.01,course,0.10,drugs,0.01,earth,0.01,edge,0.01,focus,0.01,forever,0.01,ground,0.01,guard,0.01,indefinitely,0.01,it,0.04,late,0.01,line,0.01,point,0.09,schedule,0.01,school,0.01,shore,0.01,subject,0.01,target,0.06,task,0.12,that,0.01,time,0.04,toes,0.01,together,0.01,top,0.10,topic,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steal someone's thunder,106,0.06,,bag,0.01,breath,0.01,car,0.03,dignity,0.01,glory,0.01,good,0.01,heart,0.51,idea/ideas,0.05,identity,0.02,innocence,0.01,job,0.01,keys,0.01,money,0.01,plan,0.01,puppy,0.01,purse,0.17,shirt,0.01,shoes,0.01,show,0.01,spirit,0.01,stuff,0.01,sugar,0.01,underwear,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steal the show,106,0.59,,attention,0.01,bacon,0.01,bag,0.01,bike,0.01,cake,0.01,candy,0.01,car,0.01,chair,0.02,cookie,0.01,cup,0.01,dress,0.01,food,0.01,game,0.01,gum,0.01,heart,0.01,jewelry,0.01,key,0.01,money,0.08,necklace,0.01,play,0.01,purse,0.04,ring,0.01,rock,0.01,room,0.01,scene,0.01,shine,0.01,spotlight,0.02,stage,0.01,stuff,0.01,treat,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stick one's neck out,107,0.93,,back,0.01,hard,0.01,hardly,0.01,in,0.02,lace,0.01,up,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strike a chord with him/her/them/me,110,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strike gold,108,0.51,,back,0.02,dead,0.01,deals,0.02,down,0.01,first,0.03,hands,0.01,hard,0.02,her,0.02,him,0.01,home,0.02,oil,0.08,out,0.18,paydirt,0.02,rich/riches,0.03,together,0.01,TRUE,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strike while the iron is hot,109,0.99,,red,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swallow one's pride,111,0.62,,feelings,0.01,food,0.01,guilt,0.01,gum,0.03,heart,0.01,pills,0.01,price,0.01,shame,0.01,spit,0.01,tongue,0.21,wine,0.01,words,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweep the board,107,0.01,,area,0.01,awards,0.03,balcony,0.01,brush,0.01,carpet,0.01,competition,0.02,deck,0.01,dirt,0.04,dust,0.01,floor,0.58,floors,0.01,game,0.03,ground,0.01,house,0.02,innings,0.01,kitchen,0.01,leaves,0.01,nation,0.01,place,0.01,porch,0.01,ratings,0.01,room,0.05,rug,0.05,series,0.03,sidewalk,0.01,street,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take a beating,108,0.02,,bath,0.01,bite,0.01,book,0.01,break,0.11,breath,0.02,breather,0.01,bus,0.01,chance,0.07,detour,0.01,dive,0.01,drink,0.02,dump,0.05,gamble,0.02,hit,0.01,leap,0.02,look,0.06,minute,0.01,moment,0.01,nap,0.14,pass,0.03,picture,0.04,piece,0.01,pill,0.02,powder,0.01,ride,0.04,risk,0.01,shit,0.01,shot,0.02,shower,0.03,sip,0.01,stroll,0.01,swing,0.01,taxi,0.01,train,0.01,trip,0.06,vacation,0.04,valium,0.01,walk,0.02,while,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take a bite out of it,106,0.30,,bread,0.01,cake,0.02,crime,0.47,food,0.02,her,0.02,him,0.03,justice,0.01,life,0.08,pizza,0.01,problem,0.01,that,0.01,time,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take a raincheck,108,0.00,,bath,0.06,beating,0.02,bite,0.01,bow,0.01,break,0.09,breath,0.03,bus,0.02,car,0.01,chance,0.02,class,0.01,dive,0.06,drink,0.01,dump,0.01,fall,0.01,gamble,0.01,handful,0.01,header,0.01,hike,0.01,hit,0.06,leak,0.01,leap,0.01,leave,0.01,look,0.05,minute,0.02,moment,0.02,nap,0.11,pass,0.02,picture,0.03,piece,0.01,pill,0.08,piss,0.01,powder,0.02,rest,0.01,ride,0.01,seat,0.01,shit,0.01,shot,0.01,shower,0.01,spill,0.01,stop,0.01,swing,0.03,test,0.01,turn,0.02,walk,0.02,wallet,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take a trip down memory lane,111,0.99,,road,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take its toll,107,0.42,,course,0.04,effect,0.01,form,0.01,leave,0.01,life,0.01,religion,0.01,time/times,0.49,turn,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take one's breath away,108,0.96,,now,0.01,peacefully,0.01,quick,0.01,slowly,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take someone at their word,107,0.85,,best,0.04,edge,0.01,hand,0.01,head,0.01,house,0.01,last,0.01,whim,0.01,will,0.02,worst,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take someone down a peg or two,110,0.93,,few,0.01,notch,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take someone under one's wing,109,0.92,,arm,0.01,bed,0.01,belt,0.01,care,0.02,fort,0.01,thumb,0.02,womb,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take something by storm,106,0.25,,aside,0.01,church,0.01,collar,0.02,day,0.01,dozen,0.01,ear,0.02,force,0.10,hand/hands,0.02,herself,0.01,home,0.01,horns,0.03,inches,0.01,it,0.01,miles,0.01,mouth,0.01,reins,0.01,surprise,0.43,teeth,0.01,today,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take something the wrong way,105,0.93,,end,0.01,place,0.01,turn,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take the cake,100,0.36,,bag,0.01,bait,0.03,best,0.02,bet,0.02,boat,0.01,book,0.01,brunt,0.01,bullet,0.01,bus,0.04,car,0.01,cart,0.01,challenge,0.01,chance,0.01,day,0.01,food,0.02,house,0.02,highway,0.01,license,0.01,map,0.01,moment,0.01,money,0.06,pill,0.01,power,0.01,prize,0.05,remote,0.01,roll,0.01,salad,0.01,sedan,0.01,shortcut,0.03,sink,0.01,taxi,0.01,time,0.03,toll,0.01,train,0.05,trolley,0.01,village,0.01,week,0.01,world,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take the easy way out,106,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take the edge off,102,0.97,,clippers,0.02,hardly,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
